id,gap_convdate_appcreated,days_active_app,utm_source,device_model,Android_app_version,device_price_cat,grade,current_streak,max_streak,total_timespent_last7D,comp_activity,comp_news,comp_reading,submitq_attempt,submitq_accuracy,total_navigations,total_visit,freados_earned,user_category
1c5a352f-1664-4d3a-a8fd-406a6909416b,8,2,Club1BR,CPH2285,5.7.1.6,High,Grade 4,0,0,0,0,0,0,0,0,0,0,0,bijwip
1c5f4e45-606c-4f39-aa78-cebf1ede11de,9,2,Club1BR,AC2001,5.7.1.6,High,Grade 1,0,1,1.1,0,0,0,0,0,7,0,0,ftoqzy
1c86da3d-2772-46ce-a13c-7fb18398a068,16,5,Club1BR,0,0,0,Grade 2,0,0,10.28333333,0,0,0,0,0,0,0,1300,qkpbzq
1c936a2d-45a3-4b29-8ac6-9bad4a3ce46f,3,6,Club1BR,M2006C3MI,5.7.1.6,High,Grade 6,0,2,10.13333333,0,7,0,7,0.571428571,7,0,700,xozdem
1cb9b5c6-01ce-471c-a7b8-8d4802344823,87,2,Club1BR,1726,5.7.1.7,Medium,Grade 1,0,1,3.983333333,0,0,0,0,0,5,0,0,849515
1cd6d0fe-b250-4d56-8e79-f2815f0fe02d,6,2,Organic,SM-A505F,5.7.1.6,Medium,Grade 3,0,0,26.11666667,0,0,0,0,0,13,0,960,#N/A
1d263427-2924-4fde-9903-9ea5a07cb148,9,2,Club1BR,0,0,0,Grade 1,0,0,3.283333333,0,0,0,0,0,2,0,0,869060
1d57aec3-42e8-4781-8df5-9ad987f0bf74,22,2,Club1BR,0,0,0,Grade 3,0,0,6.633333333,0,0,0,0,0,3,0,2000,kidfvj
1d6d2270-5056-47a9-a6c7-cddda31c055c,407,3,Channel Partner,CPH2095,5.7.1.7,Medium,Grade 3,0,1,2.583333333,0,0,0,0,0,4,0,200,#N/A
1d844cf9-8e89-499b-9427-4599751ba773,6,5,Organic,REDMI NOTE 9 PRO MAX,5.7.1.7,Medium,Grade 4,2,2,13.13333333,0,0,0,0,0,23,0,80,#N/A
1d93fcbf-d491-4907-9847-dbcab90b8444,120,0,Club1BR,CPH1933,5.7.0.1,Medium,Grade 4,0,0,0,0,0,0,0,0,0,0,0,opydes
1d9f8c89-0671-453d-9624-804b55e02b16,11,5,Organic,REDMI 6A,5.7.1.6,Low,Grade 2,0,2,0.016666667,0,0,0,0,0,0,0,0,#N/A
1ddc1bdd-af3b-44ee-b124-a424226fa323,2,7,Club1BR,MOTO E5 PLUS,5.7.1.6,Medium,Grade 4,0,3,149,4,0,0,16,0.5,48,0,5800,ddayqk
1de65b66-f55a-4f64-bf73-353f12575792,17,8,Club1BR,V2037,5.7.1.5,Medium,Grade 1,0,0,44.01666667,0,0,0,11,0.545454545,0,2,3100,bijwip
1df1a98b-16b3-48c6-a252-f05887493dbc,7,1,Club1BR,LND-AL30,5.7.1.6,Low,Grade 6,0,1,11.3,0,0,0,0,0,29,0,0,gqcylr
1e4328e2-ec9c-44ea-9eac-cf78ce57d096,21,5,Organic,ASUS_X00TD,5.7.1.5,Medium,Grade 1,0,0,0,0,0,0,0,0,0,0,0,#N/A
1e466bdc-870e-47de-bc85-9c684bd13f31,3,4,Organic,MI A3,5.7.1.6,Medium,Grade 6,0,0,6.7,0,0,0,0,0,22,0,0,#N/A
1e5eb5d2-c2c8-49f6-b9ab-f7c456b8bdf6,8,9,Organic,V2059,5.7.1.7,Medium,Grade 2,4,4,18.88333333,1,0,0,15,0.4,2,0,4200,#N/A
